"line","text","examen","schooltype","id","toets_id","school_id","leerling_id","T3F_54"
12,"Kleenex beweert eigen onderzoek te hebben verricht. dit is echter niet zo. Het artikel van gezondheidsnet.nl heeft een bron verleend die niet meer bestaat. Daarnaast herkent het EAACI het cijfer niet van gezondheidsnet.nl De bron van biohorma is afkomstig van het KNMI De KNMI heeft echter geen cijfer van hooikoorts. De bewering van Kleenex is tweeledig. Er wordt niet goed onderscheid gemaakt tussen verschillende soorten allergi�n. Onderzoek van Kleenex is niet inzichtelijk gemaakt. ","T81-210040110.txt","vwo","P11","T81",80,110,8
13,"De bewering ""een op de vijf mensen heeft last van hooikoorts en dat aantal groeit drastisch"" van Kleenex is ongerechtvaardigd. Te eerste kunnen we een van de bronnen van de cijfers terugvinden en deze zegt de cijfers niet te herkennen (EAACI) een Andere bron van kleenex zegt de cijfers van het KNMI te hebben gekregen. Dit terwijl het KNMI geen hooikoortscijfers bijhoud. Daarnaast houd niemand de cijfers goed bij in Nederland. Dan heb je nog de groei, Kleenex beweert dat erover de laatste - jaar een verdubbeling is geweest, maar volgens het CMR neemt de groeit sinds  af ten slotte moet men een beter onder scheid maken tussen hooikoorts en op hooikoorts lijkende ziektes. Dit zorgt namelijk voor andere cijfers.","T81-215000174.txt","vwo","P12","T81",73,174,10
14,"De stelling van Kleenex: ""Een op de vijf mensen heeft last van hooikoorts en dat aantal groeit drastisch"" wordt door ""next.checkt beoordeeld als ongefundeerd Ten eerste wordt er gebruik gemaakt van onbetrouwbare bronnen bij het onderzoek van kleenex. Ten tweede is het onderzoek niet inzichtelijk gemaakt. Daarnaast wordt hooikoorts vaak verward met andere allergi�en, waardoor het onderandere daardoor lastig is vast te stellen wat de exacte cijfers van het het aantal mensen met hooikoorts. Sommige bronnen herkennen de cijfers niet eens die van ze gebruikt zijn. ook gaan de meeste mensen niet eens naar de dokter, dus zij worden niet geregistreerd.","T81-215000175.txt","vwo","P13","T81",73,175,9
15,"De bewering van Kleenex is ongefundeerd. Als bron worden de EAACI en Allergie-site.nl genoemd. Die laatste bestaat niet langer en het EAACI zegt het cijfer niet te herkennen. Biohorna spreek van een stijging van  naar  procent. De bron is echter het KNMI en het KNMI zegt geen hooikoortscijfers te hebben. Ook houdt niemand de aantallen bij, want de klachten zijn seizoensgebonden en vari�ren per jaar. Bovendien schat het RIVM dat ongeveer eenderde van de Nederlandse bevolking last heeft van een neusallergie, maar daarbij wordt geen onderscheid tussen hooikoorts en andere vormen gemaakt. In Nederland verzamelt de CMR door huisarts gediagnosticeerde gevallen van hooikoorts. Die bieden echter weer geen uitsluitel over prevelentie onder de gehele bevolking. In hoeverre de uitspraak ""��n op vijf"" klopt is niet met zekerheid te zeggen. De bronnen waar Kleenex zich op zegt te baseren, zijn niet controleerbaar. ","T81-215000176.txt","vwo","P14","T81",73,176,11
16,"De uitspraken waar kleenex haar onderzoek op baseerd komen uit eigen onderzoek, en de overige bronnen weten van niks en zijn daardoor onbetrouwbaar. Een van de bronnen bestaat niet langer en een andere bron zegt het in het onderzoek genoemde cijfer niet te herkennen. Ook is het niet helemaal duidelijk wanneer er sprake is van hooikoorts en doktersbezoek is vaak niet nodig, dus is de prevalentie van hooikoorts in Nederland moeilijk te bepalen. mede dankzij 'ziektes/aandoeningen' niet op hooikoorts lijkende klachten. Hooikoorts en de andere aandoeningen worden in de cijfers niet van elkaar gescheiden. Ook zijn de bronnen waar kleenex zich op baseert niet controleerbaar. Er zijn geen accurate en recente cijfers beschikbaar over het aantal mensen met hooikoorts in Nederland. En door deze redenen is de bewering ongefundeerd.","T81-215000177.txt","vwo","P15","T81",73,177,9
17,"kleenex baseert zijn uitkomsten op meerdere instanties: EAACI' en KNMI.' Beide instanties geven echter aan gegevens over hooikoorts niet te hebben! Dit roept de vraag op: ""Welke instantie heeft wel de juiste gegevens?"" De University of Worcester heeft het, maar die zijn alleen voor intern gebruik. Tevens beweert Kleenex dat er een drastische groei waarneembaar is. Dit blijkt echter lastig te berekenen zijn door de suggestie van hooikoorts, en de onschuld ervan Mensen gaan niet daarvoor naar doktoren. Ook is de scheiding tussen Hooikoorts en andere ademhalings-allergieen lastig te diagnoseren. Desondanks Zijn er wel cijfers van het RIVM en WAO maar die zijn geschat en gelden niet perse voor Nederland. Tenslotte komen de cijfers van het CMR aan bod, ookal geven ze een groei patienten aan, zijn deze onbruikbaar, omdat ze niet recenter zijn dan  ","T81-215000178.txt","vwo","P16","T81",73,178,11
18,"Next.checkt beoordeelt de bewering van Kleenex als ongefundeerd. Als bron van het eigenonderzoek van Kleenex wordt Gezondheidsnet.nl genoemd die weer verwijst naar cijfers van het EAACI en Allergie-site.nl. Die laatste bestaat niet langer en het EAACI zegt de cijfers niet te herkennen. Ook hooikoortscijfers die van het KNMI zouden komen blijken verzonnen te zijn. De bewering van KLeenex dat  op de  Nederlanders last heeft van hooikoorts is moeilijk vast te stellen omdat klachten seizoensgebonden zijn en vari�ren per jaar, en daarom niemand de aantallen bijhoudt. Ook niet iedereen gaat naar de dokter met klachten en medicijnen zijn zonder recept te verkrijgen. Het is al met al niet mogelijk om de prevalentie van hooikoorts in Nederland te bepalen. De bronnen waar Kleenex zich op baseert, zijn niet controleerbaar. We weten niet of de uitspraak""��n op de vijf"" klopt.","T81-215000179.txt","vwo","P17","T81",73,179,11
19,"De bewering van Kleenex dat ��n op de vijf mensen last heeft van hooikoorts en dat dat aantal drastisch groeit, is ongefundeerd, omdat de gebruikte bronnen niet meer bestaan of ze hebben de cijfers van hooikoorts niet. De gebruikte cijfers van Kleenex kunnen niet kloppen omdat het moeilijk is om een schatting te doen van wanneer het om hooikoorts gaat en omdat niemand het aantal bijhoudt, door de variatie per seizoen. Niet alle mensen gaan namelijk naar de huisarts, dus er kan geen prevalentie van hooikoorts in Nederland worden bepaald. Voor Nederland zijn er dus geen accurate cijfers beschikbaar over het aantal mensen met hooikoorts en het interne onderzoek van Kleenex is niet inzichtelijk gemaakt.","T81-215000180.txt","vwo","P18","T81",73,180,11
20,"De bewering is ongefundeerd. Ten noemt Kleenex bronnen die niet meer bestaan of niet bevestigd zijn. Daarnaast is het moeilijk om het aantal hooikoortsgevallen te schatten. Men moet hooikoorts onderscheiden van op hooikoorts lijkende aandoeningen, vooral neusallergie. Vervolgens kunnen resultaten in Nederland heel anders zijn dan  in andere landen. Al met al is de prevalentie van hooikoorts niet te bepalen, en zijn Kleenex' bronnen niet controleerbaar Een verdubbeling van hooikoorts van hooikoortsgevallen is onwaarschijnlijk. Vanaf  neemt het geregistreerd aantal af. Vanaf  zijn er geen recentere data beschikbaar. Tenslotte zijn er in Nederland geen cijfers bekend over hooikoortsgevallen en heeft Kleenex het onderzoek niet inzichtelijk gemaakt.","T81-215000181.txt","vwo","P19","T81",73,181,11
21,"De bewering van Kleenex is ongefundeerd. Als bron worden de EAACI en de Allergie-site.nl genoemd. Allergie-site.nl bestaat niet meer en een woordvoorster van EAACI zegt het cijfer niet te herkennen. Het Nationaal Kompas Volksgezondheid van het RIVM schat dat  op de  Nederlands last heeft van neusallergie. Ook dit bied geen uitsluitsel, omdat er geen onderscheid wordt gemaakt tussen hooikoorts en andere allerie�n. De CMR rapporteert een stijging van het aantal hooikoortsgevallen over de periode -. Ze hebben echter na  geen data meer, dus ook dit is een onbetrouwbare bron. Elke genoemde bron heeft inaccurate cijfers. Dit is omdat klachten seizoensgebonden zijn en vari�ren per jaar.  Dokters bezoek is vaak niet nodig en medicijnen zijn zonder recept verkrijgbaar. Uit deze informatie blijkt dat de bewering van Kleenex dat % van de Nederlandse bevolking hooikoorts heeft en dat het aantal groeit, ongefundeert is. ","T81-215000182.txt","vwo","P20","T81",73,182,12
22,"Ten eerste zijn de bronnen die Kleenex heeft gebruikt voor het onderzoek niet goed na te trekken omdat ze bijvoorbeeld in het geval van Allergie-site.nl, niet meer bestaan. Verder is het lastig een schatting te maken van het aantal mensen met hooikoorts omdat niemand de aantallen bijhoudt omdat de klachten per jaar vari�ren. Verder bestaat er onduidelijkheid over de term ""hooikoorts"". Dit heeft als gevolg dat vaak geen onderscheid gemaakt wordt tussen hooikoorts en hyperreactieve rhinitis, waartoe ook allergie voor huisstofmijt wordt gerekend. Er wordt geschat dat eenderde van de Nederlandse bevolking last heeft van neusallergie, maar daarbij wordt geen onderscheid gemaakt tussen hooikoorts en andere vormen. Ook gaat niet iedereen naar de huisarts met hooikoortsklachten, waardoor  ook de cijfers van het CMR onbetrouwbaar zijn. Tenslotte is het onwaarschijnlijk dat een verdubbeling in de laatste - jaar plaatsvond, omdat de groeit van het aantal huisartsgeregistreerde gevallen sinds  afneemt. ","T81-215000183.txt","vwo","P21","T81",73,183,12
23,"Kleenex baseert zijn uitspraken op eigen onderzoek. De bronnen van dit onderzoek bestaan niet langer of worden niet erkent. Ook blijkt het bijzonder lastig om een schatting te maken naar het aantal personen met hooikoorts in Nederland. Er is namelijk niemand die de klachten bijhouden niet iedereen meldt zich als diegene hooikoorts heeft. Wel wordt er veel onderzoek gedaan naar ademhalingsallergie door Het Nationaal Kompas Volksgezondheid van het RIVM en Respiratory Medicine. Hierin kijkt men echter niet naar hooikoorts apart. De bronnen waar Kleenex zich op zegt te baseren, zijn niet controleerbaar. Kleenex zegt ook dat het aantal personen met hooikoorts stijgt. Het CMR rapporteerde een stijging van het aantal diagnoses van hooikoorts tussen  en . Vanaf  neemt de groeit echter af. Recentere gegevens dan  heeft het CMR niet. Mede hierom en doordat Kleenex het interne onderzoek niet inzichtelijk maakt is de uitspraak volgens NRC ongefundeert.","T81-215000184.txt","vwo","P22","T81",73,184,14
24,"De bewering van Kleenex: ""Een op de vijf mensen heeft last van hooikoorts en dat aantal groeit drastisch."" is door de redactie van next.checkt als ongefundeerd beoordeeld. De uitspraak van Kleenex is gebaseerd op bronnen die niet betrouwbaar zijn. De cijfers kloppen niet en een van de bronnen bestaat niet meer. Ook is het bijzonder lastig om een goede schatting te maken van het aantal mensen dat hooikoorts heeft. Omdat niemand aantallen bijhoudt, er niet altijd een doktersafspraak nodig is en omdat het heel moeilijk is om hooikoorts te onderscheiden van andere neusallergie�n. Ten slotte kan wel worden nagegaan of het aantal diagnoses van hooikoorts toeneemt maar volgens het CMR is de groei van het aantal diagnoses zelfs afgenomen en er zijn geen recentere data beschikbaar dan over . De uitspraak is dus ongefundeerd.","T81-215000185.txt","vwo","P23","T81",73,185,11
25,"Volgens Kleenex heeft een op de vijf mensen last van hooikoorts en dat aantal groeit drastisch. Next.checkt zegt echter dat dit resultaat ongefundeerd is. Hier hebben zij een aantal argumenten voor. Ten eerste kloppen de bronnen van het onderzoek niet. Bronnen bestaan nie tmeer of claimen de cijfers niet te kennen. Daarnaast is het erg lastig om een schatting te maken van het aantal mensen met hooikoorts. Niet iedereen gaan er mee naar de dokter en er wordt vaak geen onderschijd gemaakte tussen verschillende neusallergi�n. Wel kan naar het verschil in diagnoses worden gekeken. Dat het aantal drastisch groeit is ook niet zo omdat de groei van geregistreerde gevallen juist afneemt. Daarom beoordeelt next.checkt de uitspraak als ongefundeerd.","T81-216050050.txt","vwo","P24","T81",83,50,10
26,"De genoemde bron (EAACI) herkent de genoemde cijfers niet en de vermelde website bestaat niet. Er wordt niet duidelijk gemaakt om wat voor soort hooikoorts het gaat. In Nederland zijn er geen specifieke bureaus die bijhouden hoeveel mensen 'hooikoorts' hebben, die zou ook geen betrouwbaar getal opleveren omdat mensen vaak niks aan hun hooikoorts doen of medicijnen kopen die zonder recept verkrijgbaar zijn. Er zou zeker geen sprake zijn van een verdubbeling omdat sinds  het aantal geregistreerde gevallen afneemt volgens het CMR en er na  zelfs helemaal geen cijfers meer beschikbaar zijn","T81-216050051.txt","vwo","P25","T81",83,51,6
27,"Een woordvoerder van het EAACI herkent de door Kleenex opgegeven cijfers niet. Ook het KNMI ontkent cijfers te bezitten. Het is zeer lastig een schatting te maken van het aantal mensen met hooikoorts. He tis moeilijk onderscheid te maken tussen 'seizoensgebonden allerghische rhinitis' en 'hyperactieve rhinitis'. De schatting van het RIVM bevat geen uitsluisel. In Fijnland heeft inderdaad  procent van de bevolking hooikoorts, maar in Nederland kan dit best anders zijn. CMR biedt geen uitsluisel. Het is [onherkenbaar woord] mogelijk prevelantie van hooikoorts in Nederland te bepalen. Verdubbeling is onwaarschijnlijk in de laatste - jaar. Voor nederland zijn er geen accurate cijfers beschikbaar.","T81-216050053.txt","vwo","P26","T81",83,53,12
28,"In een reclame wordt beweerd dat ��n op de vijf mensen last heeft van hooikoorts en dit aantal drastisch groeit. Echter, er bestaat geen duidelijke definitie van hooikoorts. Of klenex de seizoensgebonden of hyperreactieve rhinitis bedoelt is niet duidelijk. Tevens blijkt uit een onderzoek uit  dat ,% van de Nederlanders een ademhalingsallergie heeft. Welk aandeel hooikoorts heeft is niet duidelijk. in  ging  op de  vrouwen en , op de  mannen naar de huisarts voor hooikoorts. in  is dat , en ,. Dat het aantal hooikoorts pati�nten ook is verdubbeld is echter onwaarschijnlijk. Concluderend kun je stellen dat het onderzoek van Klenex ongegrond is.","T81-216050055.txt","vwo","P27","T81",83,55,8
29,"Hooikoorts is de laatste - jaar niet verdubbeld. De gebruikte bron allergie-site.nl bestaat niet meer en de EAACI en KNMI herkennen gebruikte cijfers niet. Ook houdt niemand het aantal gevallen van hooikoorts bij omdat doktersbezoeken en recepten niet nodig zijn. Het Nationaal Kompas Volksgezondheid van RIVM schat dat ongeveer /e van de nederlandse bevolking last heeft van een neusallergie, maar dit is niet alleen hooikoorts. Het aantal gediagnosticeerde gevallen neemt toe, maar het bij de huisarts geregistreerde aantal neemt af. Er zijn geen accurate cijfers over het aantal mensen met hooikoorts en het onderzoek van kleenex is niet inzichtelijk gemaakt","T81-216050056.txt","vwo","P28","T81",83,56,12
30,"Uit een onderzoek van Europees onderzoek blijkt een stijging van het aantal hooikoorts pati�nten met  tot  procent per jaar. Het persbericht van Biohorma spreekt van een stijging van het aantal hooikoorts patienten in Nederland van  procent in  naar % in . Niemand blijkt de gevallen bij te houden dus een schatting maken is bijzonder moeilijk De reacties worden niet onderscheide van andere reacties Zo kan ook gesproken worden van huperreactieve rhinitis. , procent in Nelderland heeft een ademhalingsallergie. De bronnen zijn niet controleerbaar in  werd  op de  vrouwen en , op de  mannen door een huisarts met hooikoorts gediagnosticeerd.","T81-216050057.txt","vwo","P29","T81",83,57,5
31,"Next checkt: E�n op de vijf mensen heeft hooikoorts en dat aantal stijgt drastisch. Thomas Rueb. Volgens Kleenex heeft /e van Nederland hooikoorts en groeit dit aantal drastisch. Dit zou blijken uit een intern onderzoek met de University of Worcester. Twee andere bronnen zijn eveneens geraadpleegd; op gezondheidsnet.nl staat hetzelfde, de bronnen bestaan niet meer of herkennen de uitspraak niet. Bioharma beweert cijfers van het KNMI te hebben, maar deze ontkent het bestaan hiervan. Een schatting van mensen met hooikoorts maken is behoorlijk lastig. Er bestaan meerdere cijfers van neus-of ademhalingsallergi�n, maar het aandeel hooikoorts is onbekend. Tussen  en  nemen bij de huisarts geregistreerde gevallen af. De uitspraak wordt al 'ongefundeerd' beschouwd.","T81-216050058.txt","vwo","P30","T81",83,58,10
32,"De eerste bron van Kleenex is intern en dat is niet te controleren. De tweede bron verwijst naar een bron die niet meer bestaat. De derde bron verwijst naar het KNMI, die geen hooikoortscijfers zeggen te hebben. Een schatting maken is lastig. Wel kan worden gekeken of het aantal diagnoses toeneemt.","T81-216050059.txt","vwo","P31","T81",83,59,7
33,"De bewering van Kleenex is ongegrond. En eerste kloppen die bronnen van Kleenex voor de Nederlandse cijfers niet. De gestelde % in het artikel van gezonheidnet.nl wordt niet herkend door de bron van dit artikel en het persbericht van Biohorma over de stijging van hooikoortspati�nten gebruikt als bron het KNMI, wat niet beschikt over cijfers over hooikoorts. Ten twee levert eigen onderzoek van next.check op dat de % niet met zekerheid te zeggen is en niet controleerbaar is. Er is namelijk geen onderzoek gedaan waarin het aandeel hooikoorts, appart bekeken is. Ook de drastische groei lijkt onwaarschijnlijk. Het aantal gediagnosticeerde hooikoortsgevallen is gestegen over de periode  - , maar vanaf het jaar  neemt de groei af.","T81-216050060.txt","vwo","P32","T81",83,60,8
34,"In het artikel voert als bron EAACI en Allergie-site.nl. De laatste bestaat niet en de woordvoerder van het EAACI zegt het cijfer niet te herkennen. In het persbericht van Biohorma spreekt men van een stijging van het aantal hooikoortspati�nten, maar die wordt niet erkent door de KNMI. Het aantal hooikoortspati�nten wordt in Nederland niet specifiek bij gehouden alleen de mensen met ademhalingsallegiene [onherkenbaar woord] pati�nten  ook in die last hebben van huisstofmijten. Dat er een verdubbeling is de laatste - jaar zou hebben plaatsgevonden is heel onwaarschijnlijk. Vanaf het jaar  nam nauwelijks de groei van het aantal bij de huisarts geregistreerde gevallen af.","T81-220220044.txt","vwo","P33","T81",75,44,11
35,"Een advertentie van Kleenex beweert dat een op  mensen last heeft van hooikoorts en dat dit aantal drastisch groeit. Kleenex heeft twee bronnen geraadpleegd; namelijk Gezondheidsnet.nl en Biohorma. Gezondheidsnet.nl heeft zijn bronnen vanuit het EAACI en allergienet.nl, waarvan de laatstgenomende niet meer bestaat. Het EAACI herkent het cijfer niet. Bioharma beweert dat het zijn bronnen van het KNMI heeft verkregen, maar het KNMI zegt geen hooikoortscijfers te hebben. Het RIVM schat dat eenderde van de bevolking last heeft van een neusallergie, maar er wordt geen onderscheid gemaakt tussen neusallergie en andere allergi�n. Er is geen duidelijkheid over de uitspraak dat  op  mensen hooikoorts heeft. Ook neemt vanaf het jaar  de groei van het aantal bij de huisarts geregistreerd gevallen af. Dus kun je niet meer spreken van een drastische groei zoals kleenex dat doet. Vandaar dat je kunt concluderen dat de bewering van Kleenex ongefundeerd is.","T81-220220045.txt","vwo","P34","T81",75,45,10
36,"Een begeleidende tekst van een krantenartikel van Kleenex beweerde dat ��n op de vijf mensen last heeft van hooikoorts en dat dit aantal drastisch groeit. Volgens next.chechkt is het bijzonder lastig om een inschatting te maken van het aantal mensen met hooikoorts. Niemand houdt de klachten bij, want ze zijn seizoensgebonden en vari�ren per jaar. Ook is doktersbezoek vaak niet nodig, omdat de medicijnen zonder recept verkrijgbaar zijn. De CMR raporteert dat er een stijging was van het aantal gediagnosticeerde hooikoortsgevallen in de periode -. Bij de vrouwen ging dit percentage van % naar ,%. Bij mannen was dit van ,% naar ,%. De percentages namen dus wel toe, maar om te stellen dat er een verdubbeling heeft plaatsgevonden is onwaarschijnlijk. Op grond van al deze gegevens beoordeelt next.check deze uitspraak als ongefundeerd.","T81-220220047.txt","vwo","P35","T81",75,47,10
