"","text","schooltype","T3F_54","id"
"12","De bewering een op de vijf mensen heeft last van hooikoorts en dat aantal groeit drastisch van Kleenex is ongerechtvaardigd Te eerste kunnen we een van de bronnen van de cijfers terugvinden en deze zegt de cijfers niet te herkennen EAACI een Andere bron van kleenex zegt de cijfers van het KNMI te hebben gekregen Dit terwijl het KNMI geen hooikoortscijfers bijhoud Daarnaast houd niemand de cijfers goed bij in Nederland Dan heb je nog de groei Kleenex beweert dat erover de laatste jaar een verdubbeling is geweest maar volgens het CMR neemt de groeit sinds af ten slotte moet men een beter onder scheid maken tussen hooikoorts en op hooikoorts lijkende ziektes Dit zorgt namelijk voor andere cijfers","vwo",10,12
"13","De stelling van Kleenex Een op de vijf mensen heeft last van hooikoorts en dat aantal groeit drastisch wordt door nextcheckt beoordeeld als ongefundeerd Ten eerste wordt er gebruik gemaakt van onbetrouwbare bronnen bij het onderzoek van kleenex Ten tweede is het onderzoek niet inzichtelijk gemaakt Daarnaast wordt hooikoorts vaak verward met andere allergieen waardoor het onderandere daardoor lastig is vast te stellen wat de exacte cijfers van het het aantal mensen met hooikoorts Sommige bronnen herkennen de cijfers niet eens die van ze gebruikt zijn ook gaan de meeste mensen niet eens naar de dokter dus zij worden niet geregistreerd","vwo",9,13
"14","De bewering van Kleenex is ongefundeerd Als bron worden de EAACI en Allergiesitenl genoemd Die laatste bestaat niet langer en het EAACI zegt het cijfer niet te herkennen Biohorna spreek van een stijging van naar procent De bron is echter het KNMI en het KNMI zegt geen hooikoortscijfers te hebben Ook houdt niemand de aantallen bij want de klachten zijn seizoensgebonden en varieren per jaar Bovendien schat het RIVM dat ongeveer eenderde van de Nederlandse bevolking last heeft van een neusallergie maar daarbij wordt geen onderscheid tussen hooikoorts en andere vormen gemaakt In Nederland verzamelt de CMR door huisarts gediagnosticeerde gevallen van hooikoorts Die bieden echter weer geen uitsluitel over prevelentie onder de gehele bevolking In hoeverre de uitspraak een op vijf klopt is niet met zekerheid te zeggen De bronnen waar Kleenex zich op zegt te baseren zijn niet controleerbaar ","vwo",11,14
"15","De uitspraken waar kleenex haar onderzoek op baseerd komen uit eigen onderzoek en de overige bronnen weten van niks en zijn daardoor onbetrouwbaar Een van de bronnen bestaat niet langer en een andere bron zegt het in het onderzoek genoemde cijfer niet te herkennen Ook is het niet helemaal duidelijk wanneer er sprake is van hooikoorts en doktersbezoek is vaak niet nodig dus is de prevalentie van hooikoorts in Nederland moeilijk te bepalen mede dankzij ziektesaandoeningen niet op hooikoorts lijkende klachten Hooikoorts en de andere aandoeningen worden in de cijfers niet van elkaar gescheiden Ook zijn de bronnen waar kleenex zich op baseert niet controleerbaar Er zijn geen accurate en recente cijfers beschikbaar over het aantal mensen met hooikoorts in Nederland En door deze redenen is de bewering ongefundeerd","vwo",9,15
"16","kleenex baseert zijn uitkomsten op meerdere instanties EAACI en KNMI Beide instanties geven echter aan gegevens over hooikoorts niet te hebben Dit roept de vraag op Welke instantie heeft wel de juiste gegevens De University of Worcester heeft het maar die zijn alleen voor intern gebruik Tevens beweert Kleenex dat er een drastische groei waarneembaar is Dit blijkt echter lastig te berekenen zijn door de suggestie van hooikoorts en de onschuld ervan Mensen gaan niet daarvoor naar doktoren Ook is de scheiding tussen Hooikoorts en andere ademhalingsallergieen lastig te diagnoseren Desondanks Zijn er wel cijfers van het RIVM en WAO maar die zijn geschat en gelden niet perse voor Nederland Tenslotte komen de cijfers van het CMR aan bod ookal geven ze een groei patienten aan zijn deze onbruikbaar omdat ze niet recenter zijn dan ","vwo",11,16
"17","Nextcheckt beoordeelt de bewering van Kleenex als ongefundeerd Als bron van het eigenonderzoek van Kleenex wordt Gezondheidsnetnl genoemd die weer verwijst naar cijfers van het EAACI en Allergiesitenl Die laatste bestaat niet langer en het EAACI zegt de cijfers niet te herkennen Ook hooikoortscijfers die van het KNMI zouden komen blijken verzonnen te zijn De bewering van KLeenex dat op de Nederlanders last heeft van hooikoorts is moeilijk vast te stellen omdat klachten seizoensgebonden zijn en varieren per jaar en daarom niemand de aantallen bijhoudt Ook niet iedereen gaat naar de dokter met klachten en medicijnen zijn zonder recept te verkrijgen Het is al met al niet mogelijk om de prevalentie van hooikoorts in Nederland te bepalen De bronnen waar Kleenex zich op baseert zijn niet controleerbaar We weten niet of de uitspraakeen op de vijf klopt","vwo",11,17
"18","De bewering van Kleenex dat een op de vijf mensen last heeft van hooikoorts en dat dat aantal drastisch groeit is ongefundeerd omdat de gebruikte bronnen niet meer bestaan of ze hebben de cijfers van hooikoorts niet De gebruikte cijfers van Kleenex kunnen niet kloppen omdat het moeilijk is om een schatting te doen van wanneer het om hooikoorts gaat en omdat niemand het aantal bijhoudt door de variatie per seizoen Niet alle mensen gaan namelijk naar de huisarts dus er kan geen prevalentie van hooikoorts in Nederland worden bepaald Voor Nederland zijn er dus geen accurate cijfers beschikbaar over het aantal mensen met hooikoorts en het interne onderzoek van Kleenex is niet inzichtelijk gemaakt","vwo",11,18
"19","De bewering is ongefundeerd Ten noemt Kleenex bronnen die niet meer bestaan of niet bevestigd zijn Daarnaast is het moeilijk om het aantal hooikoortsgevallen te schatten Men moet hooikoorts onderscheiden van op hooikoorts lijkende aandoeningen vooral neusallergie Vervolgens kunnen resultaten in Nederland heel anders zijn dan in andere landen Al met al is de prevalentie van hooikoorts niet te bepalen en zijn Kleenex bronnen niet controleerbaar Een verdubbeling van hooikoorts van hooikoortsgevallen is onwaarschijnlijk Vanaf neemt het geregistreerd aantal af Vanaf zijn er geen recentere data beschikbaar Tenslotte zijn er in Nederland geen cijfers bekend over hooikoortsgevallen en heeft Kleenex het onderzoek niet inzichtelijk gemaakt","vwo",11,19
"20","De bewering van Kleenex is ongefundeerd Als bron worden de EAACI en de Allergiesitenl genoemd Allergiesitenl bestaat niet meer en een woordvoorster van EAACI zegt het cijfer niet te herkennen Het Nationaal Kompas Volksgezondheid van het RIVM schat dat op de Nederlands last heeft van neusallergie Ook dit bied geen uitsluitsel omdat er geen onderscheid wordt gemaakt tussen hooikoorts en andere allerieen De CMR rapporteert een stijging van het aantal hooikoortsgevallen over de periode Ze hebben echter na geen data meer dus ook dit is een onbetrouwbare bron Elke genoemde bron heeft inaccurate cijfers Dit is omdat klachten seizoensgebonden zijn en varieren per jaar Dokters bezoek is vaak niet nodig en medicijnen zijn zonder recept verkrijgbaar Uit deze informatie blijkt dat de bewering van Kleenex dat van de Nederlandse bevolking hooikoorts heeft en dat het aantal groeit ongefundeert is ","vwo",12,20
"21","Ten eerste zijn de bronnen die Kleenex heeft gebruikt voor het onderzoek niet goed na te trekken omdat ze bijvoorbeeld in het geval van Allergiesitenl niet meer bestaan Verder is het lastig een schatting te maken van het aantal mensen met hooikoorts omdat niemand de aantallen bijhoudt omdat de klachten per jaar varieren Verder bestaat er onduidelijkheid over de term hooikoorts Dit heeft als gevolg dat vaak geen onderscheid gemaakt wordt tussen hooikoorts en hyperreactieve rhinitis waartoe ook allergie voor huisstofmijt wordt gerekend Er wordt geschat dat eenderde van de Nederlandse bevolking last heeft van neusallergie maar daarbij wordt geen onderscheid gemaakt tussen hooikoorts en andere vormen Ook gaat niet iedereen naar de huisarts met hooikoortsklachten waardoor ook de cijfers van het CMR onbetrouwbaar zijn Tenslotte is het onwaarschijnlijk dat een verdubbeling in de laatste jaar plaatsvond omdat de groeit van het aantal huisartsgeregistreerde gevallen sinds afneemt ","vwo",12,21
"22","Kleenex baseert zijn uitspraken op eigen onderzoek De bronnen van dit onderzoek bestaan niet langer of worden niet erkent Ook blijkt het bijzonder lastig om een schatting te maken naar het aantal personen met hooikoorts in Nederland Er is namelijk niemand die de klachten bijhouden niet iedereen meldt zich als diegene hooikoorts heeft Wel wordt er veel onderzoek gedaan naar ademhalingsallergie door Het Nationaal Kompas Volksgezondheid van het RIVM en Respiratory Medicine Hierin kijkt men echter niet naar hooikoorts apart De bronnen waar Kleenex zich op zegt te baseren zijn niet controleerbaar Kleenex zegt ook dat het aantal personen met hooikoorts stijgt Het CMR rapporteerde een stijging van het aantal diagnoses van hooikoorts tussen en Vanaf neemt de groeit echter af Recentere gegevens dan heeft het CMR niet Mede hierom en doordat Kleenex het interne onderzoek niet inzichtelijk maakt is de uitspraak volgens NRC ongefundeert","vwo",14,22
"23","De bewering van Kleenex Een op de vijf mensen heeft last van hooikoorts en dat aantal groeit drastisch is door de redactie van nextcheckt als ongefundeerd beoordeeld De uitspraak van Kleenex is gebaseerd op bronnen die niet betrouwbaar zijn De cijfers kloppen niet en een van de bronnen bestaat niet meer Ook is het bijzonder lastig om een goede schatting te maken van het aantal mensen dat hooikoorts heeft Omdat niemand aantallen bijhoudt er niet altijd een doktersafspraak nodig is en omdat het heel moeilijk is om hooikoorts te onderscheiden van andere neusallergieen Ten slotte kan wel worden nagegaan of het aantal diagnoses van hooikoorts toeneemt maar volgens het CMR is de groei van het aantal diagnoses zelfs afgenomen en er zijn geen recentere data beschikbaar dan over De uitspraak is dus ongefundeerd","vwo",11,23
"24","Volgens Kleenex heeft een op de vijf mensen last van hooikoorts en dat aantal groeit drastisch Nextcheckt zegt echter dat dit resultaat ongefundeerd is Hier hebben zij een aantal argumenten voor Ten eerste kloppen de bronnen van het onderzoek niet Bronnen bestaan nie tmeer of claimen de cijfers niet te kennen Daarnaast is het erg lastig om een schatting te maken van het aantal mensen met hooikoorts Niet iedereen gaan er mee naar de dokter en er wordt vaak geen onderschijd gemaakte tussen verschillende neusallergien Wel kan naar het verschil in diagnoses worden gekeken Dat het aantal drastisch groeit is ook niet zo omdat de groei van geregistreerde gevallen juist afneemt Daarom beoordeelt nextcheckt de uitspraak als ongefundeerd","vwo",10,24
"25","De genoemde bron EAACI herkent de genoemde cijfers niet en de vermelde website bestaat niet Er wordt niet duidelijk gemaakt om wat voor soort hooikoorts het gaat In Nederland zijn er geen specifieke bureaus die bijhouden hoeveel mensen hooikoorts hebben die zou ook geen betrouwbaar getal opleveren omdat mensen vaak niks aan hun hooikoorts doen of medicijnen kopen die zonder recept verkrijgbaar zijn Er zou zeker geen sprake zijn van een verdubbeling omdat sinds het aantal geregistreerde gevallen afneemt volgens het CMR en er na zelfs helemaal geen cijfers meer beschikbaar zijn","vwo",6,25
"26","Een woordvoerder van het EAACI herkent de door Kleenex opgegeven cijfers niet Ook het KNMI ontkent cijfers te bezitten Het is zeer lastig een schatting te maken van het aantal mensen met hooikoorts He tis moeilijk onderscheid te maken tussen seizoensgebonden allerghische rhinitis en hyperactieve rhinitis De schatting van het RIVM bevat geen uitsluisel In Fijnland heeft inderdaad procent van de bevolking hooikoorts maar in Nederland kan dit best anders zijn CMR biedt geen uitsluisel Het is onherkenbaar woord mogelijk prevelantie van hooikoorts in Nederland te bepalen Verdubbeling is onwaarschijnlijk in de laatste jaar Voor nederland zijn er geen accurate cijfers beschikbaar","vwo",12,26
"27","In een reclame wordt beweerd dat een op de vijf mensen last heeft van hooikoorts en dit aantal drastisch groeit Echter er bestaat geen duidelijke definitie van hooikoorts Of klenex de seizoensgebonden of hyperreactieve rhinitis bedoelt is niet duidelijk Tevens blijkt uit een onderzoek uit dat van de Nederlanders een ademhalingsallergie heeft Welk aandeel hooikoorts heeft is niet duidelijk in ging op de vrouwen en op de mannen naar de huisarts voor hooikoorts in is dat en Dat het aantal hooikoorts patienten ook is verdubbeld is echter onwaarschijnlijk Concluderend kun je stellen dat het onderzoek van Klenex ongegrond is","vwo",8,27
"28","Hooikoorts is de laatste jaar niet verdubbeld De gebruikte bron allergiesitenl bestaat niet meer en de EAACI en KNMI herkennen gebruikte cijfers niet Ook houdt niemand het aantal gevallen van hooikoorts bij omdat doktersbezoeken en recepten niet nodig zijn Het Nationaal Kompas Volksgezondheid van RIVM schat dat ongeveer e van de nederlandse bevolking last heeft van een neusallergie maar dit is niet alleen hooikoorts Het aantal gediagnosticeerde gevallen neemt toe maar het bij de huisarts geregistreerde aantal neemt af Er zijn geen accurate cijfers over het aantal mensen met hooikoorts en het onderzoek van kleenex is niet inzichtelijk gemaakt","vwo",12,28
"29","Uit een onderzoek van Europees onderzoek blijkt een stijging van het aantal hooikoorts patienten met tot procent per jaar Het persbericht van Biohorma spreekt van een stijging van het aantal hooikoorts patienten in Nederland van procent in naar in Niemand blijkt de gevallen bij te houden dus een schatting maken is bijzonder moeilijk De reacties worden niet onderscheide van andere reacties Zo kan ook gesproken worden van huperreactieve rhinitis procent in Nelderland heeft een ademhalingsallergie De bronnen zijn niet controleerbaar in werd op de vrouwen en op de mannen door een huisarts met hooikoorts gediagnosticeerd","vwo",5,29
"30","Next checkt Een op de vijf mensen heeft hooikoorts en dat aantal stijgt drastisch Thomas Rueb Volgens Kleenex heeft e van Nederland hooikoorts en groeit dit aantal drastisch Dit zou blijken uit een intern onderzoek met de University of Worcester Twee andere bronnen zijn eveneens geraadpleegd op gezondheidsnetnl staat hetzelfde de bronnen bestaan niet meer of herkennen de uitspraak niet Bioharma beweert cijfers van het KNMI te hebben maar deze ontkent het bestaan hiervan Een schatting van mensen met hooikoorts maken is behoorlijk lastig Er bestaan meerdere cijfers van neusof ademhalingsallergien maar het aandeel hooikoorts is onbekend Tussen en nemen bij de huisarts geregistreerde gevallen af De uitspraak wordt al ongefundeerd beschouwd","vwo",10,30
"31","De eerste bron van Kleenex is intern en dat is niet te controleren De tweede bron verwijst naar een bron die niet meer bestaat De derde bron verwijst naar het KNMI die geen hooikoortscijfers zeggen te hebben Een schatting maken is lastig Wel kan worden gekeken of het aantal diagnoses toeneemt","vwo",7,31
"32","De bewering van Kleenex is ongegrond En eerste kloppen die bronnen van Kleenex voor de Nederlandse cijfers niet De gestelde in het artikel van gezonheidnetnl wordt niet herkend door de bron van dit artikel en het persbericht van Biohorma over de stijging van hooikoortspatienten gebruikt als bron het KNMI wat niet beschikt over cijfers over hooikoorts Ten twee levert eigen onderzoek van nextcheck op dat de niet met zekerheid te zeggen is en niet controleerbaar is Er is namelijk geen onderzoek gedaan waarin het aandeel hooikoorts appart bekeken is Ook de drastische groei lijkt onwaarschijnlijk Het aantal gediagnosticeerde hooikoortsgevallen is gestegen over de periode maar vanaf het jaar neemt de groei af","vwo",8,32
"33","In het artikel voert als bron EAACI en Allergiesitenl De laatste bestaat niet en de woordvoerder van het EAACI zegt het cijfer niet te herkennen In het persbericht van Biohorma spreekt men van een stijging van het aantal hooikoortspatienten maar die wordt niet erkent door de KNMI Het aantal hooikoortspatienten wordt in Nederland niet specifiek bij gehouden alleen de mensen met ademhalingsallegiene onherkenbaar woord patienten ook in die last hebben van huisstofmijten Dat er een verdubbeling is de laatste jaar zou hebben plaatsgevonden is heel onwaarschijnlijk Vanaf het jaar nam nauwelijks de groei van het aantal bij de huisarts geregistreerde gevallen af","vwo",11,33
"34","Een advertentie van Kleenex beweert dat een op mensen last heeft van hooikoorts en dat dit aantal drastisch groeit Kleenex heeft twee bronnen geraadpleegd namelijk Gezondheidsnetnl en Biohorma Gezondheidsnetnl heeft zijn bronnen vanuit het EAACI en allergienetnl waarvan de laatstgenomende niet meer bestaat Het EAACI herkent het cijfer niet Bioharma beweert dat het zijn bronnen van het KNMI heeft verkregen maar het KNMI zegt geen hooikoortscijfers te hebben Het RIVM schat dat eenderde van de bevolking last heeft van een neusallergie maar er wordt geen onderscheid gemaakt tussen neusallergie en andere allergien Er is geen duidelijkheid over de uitspraak dat op mensen hooikoorts heeft Ook neemt vanaf het jaar de groei van het aantal bij de huisarts geregistreerd gevallen af Dus kun je niet meer spreken van een drastische groei zoals kleenex dat doet Vandaar dat je kunt concluderen dat de bewering van Kleenex ongefundeerd is","vwo",10,34
"35","Een begeleidende tekst van een krantenartikel van Kleenex beweerde dat een op de vijf mensen last heeft van hooikoorts en dat dit aantal drastisch groeit Volgens nextchechkt is het bijzonder lastig om een inschatting te maken van het aantal mensen met hooikoorts Niemand houdt de klachten bij want ze zijn seizoensgebonden en varieren per jaar Ook is doktersbezoek vaak niet nodig omdat de medicijnen zonder recept verkrijgbaar zijn De CMR raporteert dat er een stijging was van het aantal gediagnosticeerde hooikoortsgevallen in de periode Bij de vrouwen ging dit percentage van naar Bij mannen was dit van naar De percentages namen dus wel toe maar om te stellen dat er een verdubbeling heeft plaatsgevonden is onwaarschijnlijk Op grond van al deze gegevens beoordeelt nextcheck deze uitspraak als ongefundeerd","vwo",10,35
"36","Kleenex heeft als bronnen Bioharma gezondheidsnetnl en het EAACI Gezondheidsnet bestaat niet meer en het EAACI herkent de cijfers niet Biohorma haalt als bron het KNMI naar boven maar die zegt geen cijfers te hebben De beweringen van Kleenex zijn niet te controleren want nergens worden specifiek de cijfers van hooikoorts gegeven Maar het aantal mensen met hooikoorts stijgt wel Echter neemt deze stijging af dus drastisch is die niet te noemen En er is al helemaal geen sprake van een verdubbeling","vwo",11,36
"37","Bij de door Kleenx uitgesproken bewering worden bronnen gebruikt ter ondersteuning waarvan de eerste bron een site betreft die niet langer bestaat en de woordvoerder van de site de door Kleenex gevonden cijfers niet te herkennen De tweede bron zou aantonen dat het aantal hooikoortspatienten fors stijgt Dit zou blijken uit het KNMI echter zegt het KNMI geen hooikoortscijfers te hebben Ook is het schatten van het aantal hooikoortspatienten zeer moeilijk omdat niemand de aantallen bij houdt deze zijn namelijk seizoensgebonden en een doktersbezoek blijkt vaak uit Het is ook zeer moeilijk te bepalen wanneer iemand hooikoorts heeft de reactie op pollen etc moet worden onderscheiden van op hooikoorts lijkende klachten en neusallergien Het CMR heeft onderzoek gedaan naar het aantal personen met hooikoorts en hieruit is gebleken dat het patientenaantal inderdaad toeneemt maar zeker niet drastisch Ook is het onderzoek van Kleenex niet inzichtelijk gemaakt","vwo",13,37
"38","Kleenex beweert dat een op de vijf mensen last heeft hooikoorts en dat dat aantal drastisch groeit In het artikel van Gezondheidsnetnl een van de twee bronnen wordt gesteld dat hooikoorts een groot probleem is Als bron wordt onder andere Allergiesitenl genoemd Deze site bestaat niet langer en de andere bron herkent het cijfer niet De andere bron die werd geraadpleegd door Kleenex bevat een uitspraak met cijfers van KNMI Maar het KNMI zegt geen hooikoortscijfers te hebben De bewering van Kleenex is tweeledig Ten eerste een op de vijf Nederlanders heeft last van hooikoorts en ten tweede dat aantal groeit drastisch Het is echter niet mogelijk om vast te stellen hoeveel mensen nou daadwerkelijk hooikoorts hebben De groei van het aantal bij de huisarts geregistreerde gevallen neemt af Er is geen recentere data beschikbaar dan over Het interne onderzoek van Kleenex is niet inzichtelijk gemaakt","vwo",10,38
"39","Volgens een Europees onderzoek stijgt de Hooikoortspatienten met tot procent ipv De bron van dit onderzoek uit Het dagblad spits worden EAACI en allergiesitenet genoemd maar die bestaan of Herkennen deze stijging van niet Ook is Het controleren van het aantal hooikoortspatienten vrijwel onmogelijk ook moet er onderscheidt worden gemaakt tussen verscHillende allergien zoals rHinitis dat geen Hooikoorts is als er een bepaalde stad wel Het aantal Hooikoorts gevallen meet betekent dat niet dat de uitslag voor Het Hele land geldt prevalentie de registratie van Hooikoortspatienten door Huisartsen neemt af en zijn dus van deze tijd niet betrouwbaar en is dus de uitspraak ongefundeerd","vwo",6,39
